Title	URL	HasUniqueRoleAssignments	User/Group	Roles
ExchangeRate	http://sps2013/sites/tomv2/Lists/ExchangeRate	True	TOM Viewers	Read,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	SPS2013\administrator	Full Control,Limited Access,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	Excel Services Viewers	View Only,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	TOM v2 Owners	Full Control,Limited Access,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	TOM v2 Visitors	Read,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	TOM v2 Members	Edit,Limited Access,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	TOM Administrators	Full Control,Limited Access,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	TOM Owners	Full Control,Limited Access,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	TOM Members	Contribute,Limited Access,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	TOM Visitors	Read,Limited Access,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	TOM Viewers	Read,Limited Access,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	Style Resource Readers	Limited Access,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	Designers	Design,Limited Access,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	Hierarchy Managers	Manage Hierarchy,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	Approvers	Approve,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	Restricted Readers	Restricted Read,
Form Templates	http://sps2013/sites/tomv2/FormServerTemplates	False	Translation Managers	Restricted Interfaces for Translation,
Holidays	http://sps2013/sites/tomv2/Lists/Holidays	True	SPS2013\administrator	Full Control,
Holidays	http://sps2013/sites/tomv2/Lists/Holidays	True	TOM v2 Owners	Full Control,
Holidays	http://sps2013/sites/tomv2/Lists/Holidays	True	TOM v2 Visitors	Read,
Holidays	http://sps2013/sites/tomv2/Lists/Holidays	True	TOM v2 Members	Edit,
Holidays	http://sps2013/sites/tomv2/Lists/Holidays	True	TOM Administrators	Full Control,
Holidays	http://sps2013/sites/tomv2/Lists/Holidays	True	TOM Owners	Full Control,
Holidays	http://sps2013/sites/tomv2/Lists/Holidays	True	TOM Members	Read,
Holidays	http://sps2013/sites/tomv2/Lists/Holidays	True	TOM Visitors	Read,
Holidays	http://sps2013/sites/tomv2/Lists/Holidays	True	TOM Viewers	Read,
Images	http://sps2013/sites/tomv2/PublishingImages	False	SPS2013\administrator	Full Control,Limited Access,
Images	http://sps2013/sites/tomv2/PublishingImages	False	Excel Services Viewers	View Only,
Images	http://sps2013/sites/tomv2/PublishingImages	False	TOM v2 Owners	Full Control,Limited Access,
